,Year,G,Pos,AST,BLK,Player,FG,STL,PTS,TRB,O_Index,D_Index,Overall_Index,PPG,ASTPG,RPG,BLKPG,STLPG,FGPG
585,1981.0,84.0,PG,360.0,11.0,Billy McKinney,327.0,99.0,818.0,184.0,8.063095238095237,1.2690476190476192,9.332142857142856,9.738095238095235,4.285714285714286,2.1904761904761907,0.13095238095238096,1.1785714285714286,3.8928571428571432
953,1982.0,82.0,PF,91.0,185.0,Kevin McHale*,465.0,30.0,1117.0,556.0,10.324390243902439,3.498780487804878,13.823170731707316,13.621951219512196,1.1097560975609757,6.780487804878049,2.256097560975609,0.36585365853658536,5.670731707317072
385,1981.0,2.0,PG,3.0,0.0,Dave Britton,2.0,1.0,4.0,2.0,1.7999999999999998,0.55,2.35,2.0,1.5,1.0,0.0,0.5,1.0
648,1981.0,26.0,PG,140.0,8.0,John Roche,82.0,17.0,231.0,37.0,7.61153846153846,0.8576923076923075,8.469230769230768,8.884615384615385,5.384615384615384,1.4230769230769231,0.3076923076923077,0.6538461538461539,3.1538461538461537
2426,1986.0,80.0,PF,62.0,105.0,Kurt Nimphius,351.0,33.0,896.0,453.0,8.43375,2.7825,11.21625,11.2,0.775,5.6625,1.3125,0.4125,4.3875
171,1980.0,53.0,PF,90.0,37.0,Dwight Jones,207.0,24.0,533.0,296.0,7.769811320754717,2.579245283018868,10.349056603773585,10.056603773584905,1.69811320754717,5.584905660377358,0.6981132075471698,0.4528301886792453,3.9056603773584895
3465,1989.0,53.0,C,18.0,11.0,Greg Dreiling,43.0,5.0,129.0,92.0,1.852830188679245,0.7849056603773585,2.637735849056604,2.4339622641509435,0.33962264150943394,1.7358490566037736,0.2075471698113208,0.09433962264150944,0.8113207547169812
2532,1986.0,8.0,PG,13.0,0.0,Ennis Whatley,9.0,5.0,22.0,7.0,2.3625,0.5375000000000001,2.9,2.75,1.625,0.875,0.0,0.625,1.125
1695,1984.0,82.0,PF,214.0,174.0,Larry Nance,601.0,86.0,1451.0,678.0,13.641463414634144,4.258536585365853,17.9,17.695121951219512,2.609756097560976,8.268292682926829,2.1219512195121952,1.0487804878048779,7.329268292682928
1272,1983.0,77.0,PF,89.0,108.0,Edgar Jones,237.0,42.0,677.0,448.0,6.693506493506494,2.9116883116883123,9.605194805194808,8.792207792207792,1.155844155844156,5.8181818181818175,1.4025974025974026,0.5454545454545454,3.0779220779220777
3328,1988.0,29.0,C,3.0,8.0,Chris Washburn,22.0,4.0,57.0,55.0,1.4724137931034482,0.882758620689655,2.3551724137931034,1.9655172413793105,0.10344827586206896,1.8965517241379308,0.27586206896551724,0.13793103448275862,0.7586206896551724
508,1981.0,2.0,PG,2.0,0.0,Tony Jackson,1.0,2.0,2.0,2.0,0.95,0.7,1.65,1.0,1.0,1.0,0.0,1.0,0.5
109,1980.0,73.0,SF,65.0,21.0,Don Ford,131.0,22.0,308.0,185.0,3.310958904109589,1.1904109589041094,4.501369863013698,4.219178082191782,0.8904109589041096,2.5342465753424657,0.2876712328767123,0.3013698630136986,1.7945205479452055
503,1981.0,45.0,C,24.0,21.0,Kim Hughes,16.0,17.0,32.0,77.0,0.6399999999999999,0.9377777777777778,1.5777777777777775,0.7111111111111111,0.5333333333333333,1.7111111111111108,0.4666666666666667,0.37777777777777777,0.3555555555555556
1070,1982.0,82.0,PF,107.0,84.0,Buck Williams,513.0,84.0,1268.0,1005.0,11.710975609756098,5.517073170731707,17.228048780487804,15.46341463414634,1.304878048780488,12.25609756097561,1.024390243902439,1.024390243902439,6.2560975609756095
1011,1982.0,79.0,PG,226.0,13.0,Lorenzo Romar,203.0,60.0,488.0,98.0,5.153164556962025,0.7734177215189874,5.926582278481012,6.177215189873418,2.8607594936708862,1.240506329113924,0.16455696202531644,0.7594936708860759,2.5696202531645564
2527,1986.0,79.0,PG,337.0,5.0,Spud Webb,199.0,82.0,616.0,123.0,6.563291139240508,0.9531645569620252,7.516455696202532,7.7974683544303796,4.265822784810126,1.5569620253164558,0.06329113924050632,1.0379746835443038,2.518987341772152
2525,1986.0,5.0,PG,6.0,0.0,Bryan Warrick,4.0,2.0,10.0,3.0,1.72,0.36000000000000004,2.08,2.0,1.2,0.6,0.0,0.4,0.8
2718,1987.0,8.0,PG,6.0,0.0,Myron Jackson,2.0,1.0,11.0,3.0,1.1375,0.18750000000000006,1.325,1.375,0.75,0.375,0.0,0.125,0.25
2020,1985.0,78.0,C,78.0,33.0,Tim McCormick,269.0,18.0,726.0,398.0,7.060256410256411,2.237179487179488,9.297435897435898,9.307692307692307,1.0,5.102564102564102,0.4230769230769231,0.2307692307692308,3.448717948717949
3630,1989.0,29.0,SG,46.0,2.0,Pete Myers,25.0,17.0,81.0,23.0,2.358620689655172,0.5137931034482759,2.872413793103448,2.7931034482758617,1.5862068965517242,0.7931034482758621,0.06896551724137931,0.5862068965517241,0.8620689655172413
1327,1983.0,36.0,C,7.0,3.0,Mark McNamara,29.0,3.0,78.0,76.0,1.6361111111111108,0.8944444444444445,2.5305555555555554,2.1666666666666665,0.19444444444444445,2.1111111111111107,0.08333333333333333,0.08333333333333333,0.8055555555555556
1526,1984.0,61.0,SG,67.0,14.0,Don Collins,187.0,43.0,440.0,129.0,5.575409836065574,1.1262295081967213,6.701639344262294,7.213114754098362,1.098360655737705,2.114754098360656,0.2295081967213115,0.7049180327868853,3.065573770491804
1423,1983.0,73.0,SG,150.0,18.0,Terry Teagle,332.0,53.0,761.0,194.0,8.163013698630136,1.3547945205479452,9.517808219178082,10.424657534246576,2.054794520547945,2.6575342465753424,0.2465753424657534,0.726027397260274,4.5479452054794525
3170,1988.0,78.0,SF,263.0,52.0,Xavier McDaniel,687.0,96.0,1669.0,518.0,16.53333333333333,3.2256410256410257,19.75897435897436,21.397435897435894,3.3717948717948723,6.641025641025642,0.6666666666666666,1.2307692307692308,8.807692307692307
2534,1986.0,2.0,PG,3.0,0.0,Ennis Whatley,1.0,0.0,2.0,0.0,1.05,0.0,1.05,1.0,1.5,0.0,0.0,0.0,0.5
